adjective,chinese,definition
abusive,辱骂性的,"使用侮辱性词语谩骂、辱骂他人，如直接使用""傻逼""""废物""""畜生""等脏话进行人身攻击的言论。"
accepting,包容的,尊重和接纳不同群体或观点的态度，不对他人身份、地域或取向进行排斥或歧视的言论。
accommodating,迁就的,愿意理解或配合他人立场的态度，在讨论中表现出妥协或让步意愿的言论。
admiring,赞赏的,对他人或其行为表达认可、钦佩或赞美的言论，不含有攻击或贬低意味。
age discriminatory,年龄歧视的,基于年龄对他人进行区别对待或贬低的言论，如嘲笑老年人观念落后或歧视年轻人缺乏经验。
aggressive,攻击性的,言辞中带有强制、对抗或敌意，试图通过语言压制或威胁他人，如挑衅、叫嚣、威胁对方。
anti-disabled,反残疾人的,对残疾人群体表现出偏见、歧视或敌意，如嘲笑残疾、贬低残疾人价值的言论。
anti-feminist,反女权的,"反对女性权益主张的言论，如嘲讽女权运动、将女权主义者标签化为""女拳""""小仙女""等带有贬义的称呼。"
anti-queer,反酷儿的,"对LGBTQ+群体表现出偏见、歧视或敌意，如使用""基佬""""变态""等贬义称呼攻击性少数群体的言论。"
appreciative,感激的,对他人或其行为表达感谢或认可的言论，有助于建立建设性的对话氛围。
argumentative,好争辩的,倾向于争论或反驳他人观点，语气偏对抗但未达到人身攻击程度，如执意否定他人但缺乏实质论据。
awful,糟糕的,"使用强烈负面词语评价事物，如""太烂了""""垃圾""，需结合语境判断是否构成对他人的人身攻击。"
belittling,贬低的,"通过言语使他人感到渺小或无价值，如嘲讽对方""你算什么东西""""就你那水平也配说话""等言论。"
bitter,怨恨的,表达长期积压的不满、怨恨情绪，如对特定群体持续表达怨气，语气带苦涩但未必构成直接攻击。
body shaming,身体羞辱的,"基于他人身体特征进行嘲笑或贬低，如嘲笑体型""坦克""""肥猪""、攻击外貌的言论。"
bullying,欺凌性的,"通过反复的言语威胁、侮辱或压迫来伤害他人，如持续针对某人进行辱骂、""网暴""等具有压迫性的言论。"
challenging,挑战性的,对现有观点提出质疑或反驳，但以理据为基础而非人身攻击，属于理性讨论范畴。
charged with aggression,充满攻击性的,言语中蕴含强烈的敌意和对抗性，如充满火药味的指责、威胁或挑衅，极易引发冲突升级。
chauvinistic,沙文主义的,表现出自身群体优越感并贬低其他群体的言论，如宣扬本民族/性别/地域的绝对优越性并歧视他人。
conciliatory,调和的,试图缓解冲突、促进和解的言论，如在激烈争论中呼吁双方冷静、寻找共识。
condemning,谴责的,对特定行为表达强烈反对态度，如谴责暴力行为或歧视言行，需区分对行为的正当批评与对群体的仇恨。
condemning violence,谴责暴力的,明确反对暴力行为的言论，如批评家暴、反对打砸抢烧等，属于建设性表达。
condescending,居高临下的,"表现出优越感并轻视他人的态度，如以教导口吻说""你这种人懂什么""，带有隐性不尊重。"
conflictual,冲突性的,容易引发或加剧对立冲突的言论，如故意激化矛盾、制造群体间对立情绪的内容。
confrontational,对抗性的,表现出直接对抗态度，如正面对骂、针锋相对的言语交锋，容易激化矛盾。
considerate,体贴的,考虑他人感受的言论态度，在讨论中表现出对他人立场或情感的理解和尊重。
contemptuous,蔑视的,"表现出强烈不尊重或鄙视的态度，如用""你配吗""""就你？""等话语贬低他人价值和尊严。"
contradictory,矛盾的,言论内容前后冲突或不一致，本身属于逻辑问题，不直接构成有害言论。
contrary,相反的,表达相反或对立观点，属于正常的意见分歧表达，需区分合理异议与恶意对抗。
contrasting,对比的,进行对比分析的言论，本身为中性表达，需结合对比内容判断是否含有歧视性暗示。
controversial,有争议的,涉及容易引发争论的话题，本身为中性，需区分理性讨论与恶意煽动对立。
convincing,有说服力的,具有逻辑和证据支撑的论述，本身为中性，需结合说服的内容判断是否传播有害观念。
critical,批评的,对特定事物表达负面评价，需区分基于事实的建设性批评与恶意的人身攻击。
dangerous,危险的,可能煽动暴力、传播仇恨或导致严重社会危害的言论，如鼓动极端行为、威胁他人安全。
defamatory,诽谤性的,故意传播虚假信息损害他人名誉，如编造谣言攻击他人、恶意造谣中伤的言论。
defensive,防御性的,表现出防御或自我保护态度的言论，如为自己或所属群体辩解，本身为中性表达。
degrading,有辱人格的,"降低他人尊严或价值的言论，如用""畜生""""蛆""""寄生虫""等非人化称呼贬低他人。"
dehumanizing,非人化的,"将他人视为低等生物或非人类，如称特定群体为""虫""""动物""""类人猿""，为更严重的歧视和暴力铺路。"
deliberative,商议性的,旨在进行理性讨论和深入思考的言论，有助于促进理解和共识，不具有有害性。
democratically,民主地,符合民主原则的言论方式，尊重不同意见的表达权利，促进平等对话。
derogatory,贬义的,"带有负面或侮辱性含义的言辞，如使用""婊子""""龟男""""幕刃""等贬义词汇攻击他人。"
despicable,可鄙的,表达对他人极其强烈的谴责和厌恶，语气极端，常伴随人身攻击和侮辱性评价。
destructive,破坏性的,旨在破坏社会秩序、群体关系或人际信任的言论，如散布恐慌、挑拨群体关系。
devaluing,贬低价值的,通过言辞降低他人或群体的价值，如否定某群体的贡献、能力或存在意义。
differentiating,区分的,识别或强调不同群体间差异的言论，需区分客观描述与带有歧视性暗示的区分。
discreditable,有损信誉的,损害他人信誉或名誉的言论，如暗示某人不诚信、不值得信任，需结合事实判断是否构成诽谤。
discriminatory,歧视性的,基于种族、性别、地域、宗教等特征对群体进行不公平对待，如地域黑、性别歧视、种族偏见等言论。
disgusting,令人厌恶的,"使用强烈厌恶措辞评价他人或事物，如""恶心""""令人作呕""，需结合语境判断是否构成仇恨表达。"
dismissive,轻视的,"表现出忽视或轻视他人观点的态度，如""你懂什么""""不值一驳""，可能引发冲突。"
disrespectful,不尊重的,表现出对他人缺乏基本尊重的言论，如打断对方、无视对方感受、使用轻蔑语气。
distancing,疏远的,试图与特定群体保持距离或划清界限的言论，在有害言论中可能表现为隐性排斥或隔离倾向。
distancing yourself,与自身保持距离的,试图与特定观点或群体划清界限的言论，在反仇恨语境中可能表现为拒绝关联有害立场。
distinctive,独特的,表现出独特或显著特征的言论，本身为中性表达，不直接构成有害内容。
distracting,分散注意力的,故意将讨论引向无关方向以回避核心问题的言论，如用无关话题转移对歧视行为的关注。
disturbing,令人不安的,内容引起不安或困扰，如描述暴力细节、传播恐慌信息的言论，需结合严重程度判断。
diversity conscious,关注多样性的,关注和重视多元文化和群体多样性的言论，如呼吁包容不同身份和观点。
divisive,分裂的,试图分裂群体或制造对立的言论，如挑拨不同地域、性别群体之间互相敌视和攻击。
exclusionary,排他性的,"试图将特定群体排除在外的言论，如""滚回你的地方去""""这里不欢迎你们""等排斥性表达。"
expressing concern,表达关切的,表达对某事的担忧或关切的言论，本身为中性，需结合关切内容判断建设性。
extremist,极端主义的,支持或宣扬极端理念的言论，如鼓吹种族清洗、性别灭绝或极端政治主张。
fact-based,基于事实的,以事实为依据进行论述的言论，有助于抵制虚假信息和偏见，不具有有害性。
fair,公平的,主张公平公正对待所有群体的言论，如反对双重标准、呼吁平等对待。
feminist,女权主义的,支持女性权益和性别平等的主张，本身为中性，需区分平等倡导与极端性别对立言论。
gender discriminatory,性别歧视的,"基于性别进行不公平对待或贬低的言论，如""女人就该在家带孩子""""男人都是下半身动物""等刻板偏见。"
glorifying violence,美化暴力的,美化或赞扬暴力行为的言论，如为家暴辩护、赞扬打砸抢烧行为、鼓吹暴力解决问题。
harassing,骚扰性的,持续针对某人进行骚扰性言论攻击，如反复辱骂、人身威胁、恶意@他人等具有重复性和针对性的行为。
